date,#,filename,path,type,CWT,FIR,LabView ver,Py_version,project,hard_exclude,mouse_id,patch_site,best_frequency,tuning,tuning_from,need_checking,intrinsic_check,tuning_check,final_inclusion,fs_neuron
20230607,3,20230607_003,E:\in-vivo_patch\20230607/20230607_003_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,13680.58931,,20230607_001,,,,,
20230607,4,20230607_004,E:\in-vivo_patch\20230607/20230607_004_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG150,up,11794.02091,yes,,,,,yes,
20230607,5,20230607_005,E:\in-vivo_patch\20230607/20230607_005_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,11794.02091,,20230607_004,,,,yes,
20230607,6,20230607_006,E:\in-vivo_patch\20230607/20230607_006_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,11987.73298,yes,20230607_007,,,,yes,
20230607,7,20230607_007,E:\in-vivo_patch\20230607/20230607_007_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG150,up,11987.73298,yes,,,,,yes,
20230607,8,20230607_008,E:\in-vivo_patch\20230607/20230607_008_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG150,up,12856.3569,yes,,,,,yes,
20230607,9,20230607_009,E:\in-vivo_patch\20230607/20230607_009_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,12856.3569,yes,20230607_008,,,,yes,
20230607,10,20230607_010,E:\in-vivo_patch\20230607/20230607_010_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,12856.3569,yes,20230607_008,,,,,
20230607,11,20230607_011,E:\in-vivo_patch\20230607/20230607_011_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG150,up,12211.41889,yes,,,,,yes,
20230607,12,20230607_012,E:\in-vivo_patch\20230607/20230607_012_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,12211.41889,yes,20230607_011,,,,yes,
20230607,13,20230607_013,E:\in-vivo_patch\20230607/20230607_013_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG150,up,11393.89394,yes,,,,,yes,
20230607,14,20230607_014,E:\in-vivo_patch\20230607/20230607_014_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG150,up,11393.89394,yes,20230607_013,,,,yes,
20230620,1,20230620_001,E:\in-vivo_patch\20230620/20230620_001_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG147,up,8837.014183,yes,,,,,yes,
20230620,2,20230620_002,E:\in-vivo_patch\20230620/20230620_002_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG147,up,8837.014183,yes,20230620_001,,,,yes,
20230620,3,20230620_003,E:\in-vivo_patch\20230620/20230620_003_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG147,up,8837.014183,yes,20230620_001,,,,,
20230620,4,20230620_004,E:\in-vivo_patch\20230620/20230620_004_.tdms,Pure Tones,no,20230320,1.6,3,Ic_map,,TG147,up,15607.8399,yes,,check tuning,,,yes,
20230620,5,20230620_005,E:\in-vivo_patch\20230620/20230620_005_.tdms,Log sFM,no,20230320,1.6,3,Ic_map,,TG147,up,15607.8399,yes,20230620_004,,,,yes,
